Medicine Name,Manufacturing Date,Expiry Date,Company,Price,Quantity
ishankidawai,18-08-2020,05-04-2022,Zydus,140,80
Losartan 859mg,28-09-2023,27-05-2025,Biocon,226.35,67
Atorvastatin 322mg,02-09-2021,09-05-2024,Biocon,76.12,21
Paracetamol 506mg,27-10-2024,06-10-2026,Pfizer,250.52,20
Losartan 580mg,18-05-2024,04-09-2025,Zydus,116.35,32
Paracetamol 718mg,27-12-2021,17-10-2023,Biocon,445.01,71
Metformin 349mg,22-08-2023,03-11-2025,Biocon,456.59,75
Azithromycin 503mg,02-10-2021,24-02-2024,Cipla,234.31,88
Losartan 930mg,09-06-2021,18-07-2022,Zydus,257.44,47
Amlodipine 101mg,24-02-2021,20-08-2022,Lupin,294.41,96
Omeprazole 565mg,17-08-2023,11-07-2026,Aurobindo,237.75,67
Amoxicillin 245mg,07-01-2023,28-02-2024,Novartis,44.02,2
Omeprazole 231mg,20-05-2020,03-05-2022,Zydus,187.15,22
Amlodipine 162mg,20-02-2020,04-07-2022,Zydus,31.76,80
Losartan 431mg,25-06-2022,27-08-2023,Dr. Reddy's,182.89,38
Amoxicillin 383mg,13-06-2020,03-05-2022,Lupin,35.32,15
Losartan 874mg,18-03-2024,03-09-2026,Sun Pharma,124.65,96
Amoxicillin 750mg,08-02-2020,30-03-2021,Dr. Reddy's,480.51,43
Cetrizine 707mg,10-07-2022,21-02-2025,Lupin,156.08,95
Amoxicillin 599mg,05-02-2024,07-05-2026,Aurobindo,170.84,70
Losartan 770mg,09-06-2023,01-05-2026,Dr. Reddy's,225.13,73
Azithromycin 740mg,06-02-2022,04-11-2023,Biocon,306.08,56
Cetrizine 338mg,22-12-2020,08-12-2023,Zydus,443.67,56
Metformin 331mg,15-10-2024,18-05-2027,Aurobindo,354.35,39
Cetrizine 569mg,09-07-2020,30-09-2022,Pfizer,470.33,74
Amoxicillin 365mg,08-01-2020,14-06-2021,Lupin,451.57,10
Azithromycin 958mg,15-12-2020,15-08-2022,Aurobindo,400.46,34
Cetrizine 366mg,30-01-2023,04-08-2025,Biocon,310.46,12
Atorvastatin 222mg,04-09-2021,17-03-2024,Cipla,73.04,86
Azithromycin 769mg,20-09-2023,16-01-2026,Aurobindo,110.76,37
Losartan 572mg,01-04-2020,16-11-2021,Biocon,163.08,28
Azithromycin 564mg,09-03-2024,11-01-2026,Cipla,472.59,13
Paracetamol 736mg,28-01-2020,27-12-2021,Glenmark,420.42,8
Ibuprofen 402mg,13-08-2020,19-10-2022,Novartis,452.65,36
Ibuprofen 745mg,21-05-2021,04-12-2023,Aurobindo,194.23,15
Cetrizine 908mg,02-09-2024,10-01-2026,Aurobindo,165.57,19
Ibuprofen 597mg,18-03-2023,30-06-2025,Lupin,403.58,83
Amoxicillin 809mg,24-10-2020,04-04-2023,Sun Pharma,252.11,60
Paracetamol 205mg,13-01-2022,16-08-2023,Biocon,262.23,20
Ibuprofen 662mg,11-03-2023,24-07-2025,Cipla,250.59,64
Metformin 848mg,29-09-2023,02-02-2025,Glenmark,453.97,1
Paracetamol 308mg,10-05-2024,10-11-2026,Biocon,57.87,61
Metformin 811mg,15-08-2020,29-03-2022,Sun Pharma,350.68,100
Cetrizine 579mg,09-09-2021,22-10-2022,Aurobindo,429.27,75
Amoxicillin 457mg,06-10-2024,11-06-2027,Glenmark,145.13,93
Atorvastatin 546mg,07-11-2020,02-11-2022,Sun Pharma,290.64,1
Omeprazole 996mg,12-10-2022,05-06-2025,Dr. Reddy's,381.27,52
Amlodipine 136mg,03-11-2021,22-11-2022,Novartis,464.02,96
Ibuprofen 999mg,08-02-2022,01-02-2025,Aurobindo,25.08,72
Amlodipine 224mg,14-11-2022,10-03-2025,Dr. Reddy's,483.73,84
Paracetamol 946mg,04-06-2021,13-09-2022,Biocon,32.26,66
Cetrizine 922mg,30-04-2022,06-02-2024,Dr. Reddy's,415.58,41
