Medicine Name,Manufacturing Date,Expiry Date,Company,Price,Quantity
Paracetol,2024-11-15,2025-04-25,HealWell Pharma,45.0,120
AmoxyFast,2024-10-10,2025-05-15,Zenith Labs,78.5,80
CoughFree,2024-12-20,2025-04-30,Remedy Corp,60.0,60
PainAway,2024-09-25,2025-05-05,TruCure,55.0,100
Allerclear,2024-08-05,2025-05-10,PharmaNova,32.0,50
Coldnil,2024-10-30,2025-05-12,LifeMed,48.0,70
BactoGone,2024-09-01,2025-05-03,CarePlus,92.0,40
GlucoCheck,2024-07-12,2025-05-08,DiabeCure,110.0,30
VitaBoost,2024-11-01,2025-05-07,VitalLife,65.0,90
AntacidX,2024-08-25,2025-04-28,StomachEase,30.0,130
NeuroCalm,2024-09-15,2025-04-29,BrainHeal,125.0,25
CardioSafe,2024-10-05,2025-05-01,HeartCare Inc.,150.0,20
EyeBright,2024-12-01,2025-04-26,VisionPlus,40.0,45
SkinSoft,2024-07-20,2025-05-14,DermaLife,58.0,85
JointFlex,2024-06-30,2025-05-02,OrthoHeal,78.0,60
IronMax,2024-09-10,2025-04-24,FerroTech,35.0,100
SleepEZ,2024-11-25,2025-05-04,RestWell,50.0,40
MoodLift,2024-10-18,2025-05-11,SereneCare,89.0,35
DentoFresh,2024-12-10,2025-05-06,DentalPro,22.0,75
LungClear,2024-08-01,2025-05-09,BreatheEasy,99.0,55
